Biologi,4,6
Fisika,10,148
Kimia,19,224
Teknik Fisika,84,1623
Teknik Industri,42,916
Teknik Kimia,24,479
Teknik Material dan Metalurgi,6,289
Teknik Mesin,23,362
Informatika,26,486
Sistem Informasi,147,773
Teknik Kelautan,1,17
Teknik Perkapalan,1,19
Teknik Sistem Perkapalan,6,252
